Run	Precision	Recall	Fb	Lang	Cand
multi_p8_c0_0_s720	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_0_s720	0.4406779661016949	0.7878787878787878		en	multi
multi_p8_c0_6_s720	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_6_s720	0.4406779661016949	0.7878787878787878		en	multi
single_p8_c0_7_s0	0.4	0.6875		nl	single
single_p8_c0_7_s0	0.6558704453441295	0.6136363636363636		en	single
single_p8_c0_0_s980	0.3793103448275862	0.6875		nl	single
single_p8_c0_0_s980	0.5993150684931506	0.6628787878787878		en	single
single_p8_c0_7_s980	0.4	0.6875		nl	single
single_p8_c0_7_s980	0.6558704453441295	0.6136363636363636		en	single
multi_p8_c0_7_s0	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_7_s0	0.4406779661016949	0.7878787878787878		en	multi
multi_p8_c0_0_s980	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_0_s980	0.4406779661016949	0.7878787878787878		en	multi
multi_p8_c0_7_s980	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_7_s980	0.4406779661016949	0.7878787878787878		en	multi
single_p8_c0_8_s0	0.4074074074074074	0.6875		nl	single
single_p8_c0_8_s0	0.6943231441048034	0.6022727272727273		en	single
single_p8_c0_0_s1280	0.3793103448275862	0.6875		nl	single
single_p8_c0_0_s1280	0.5993150684931506	0.6628787878787878		en	single
single_p8_c0_8_s1280	0.4074074074074074	0.6875		nl	single
single_p8_c0_8_s1280	0.6943231441048034	0.6022727272727273		en	single
multi_p8_c0_8_s0	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_8_s0	0.4406779661016949	0.7878787878787878		en	multi
multi_p8_c0_0_s1280	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_0_s1280	0.4406779661016949	0.7878787878787878		en	multi
multi_p8_c0_8_s1280	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_8_s1280	0.4406779661016949	0.7878787878787878		en	multi
single_p8_c0_9_s0	0.39215686274509803	0.625		nl	single
single_p8_c0_9_s0	0.7227722772277227	0.553030303030303		en	single
single_p8_c0_0_s1620	0.3793103448275862	0.6875		nl	single
single_p8_c0_0_s1620	0.5993150684931506	0.6628787878787878		en	single
single_p8_c0_9_s1620	0.39215686274509803	0.625		nl	single
single_p8_c0_9_s1620	0.7227722772277227	0.553030303030303		en	single
multi_p8_c0_9_s0	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_9_s0	0.4406779661016949	0.7878787878787878		en	multi
multi_p8_c0_0_s1620	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_0_s1620	0.4406779661016949	0.7878787878787878		en	multi
multi_p8_c0_9_s1620	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_9_s1620	0.4406779661016949	0.7878787878787878		en	multi
multi_szt_p4_c0_0_s0	0.6818181818181818	0.46875		nl	multi
multi_szt_p4_c0_0_s0	0.7045454545454546	0.11742424242424243		en	multi
multi_t10_nl_c0_0_s0	0.8571428571428571	0.1875		nl	multi
multi_t10_nl_c0_0_s0	0.7682119205298014	0.4393939393939394		en	multi
t10p4_c0_0_s0	0.7857142857142857	0.34375		nl	single
t10p4_c0_0_s0	0.7913669064748201	0.4166666666666667		en	single
