Run	Precision	Recall	F0.5	Lang	Cand
single_p8_c0_0_s0	0.3793103448275862	0.6875	0.4166666666666667	nl	single
single_p8_c0_0_s0	0.5993150684931506	0.6628787878787878	0.6110335195530726	en	single
single_p8_c0_0_s0	0.3793103448275862	0.6875	0.4166666666666667	nl	single
single_p8_c0_0_s0	0.5993150684931506	0.6628787878787878	0.6110335195530726	en	single
single_p8_c0_0_s0	0.3793103448275862	0.6875	0.4166666666666667	nl	single
single_p8_c0_0_s0	0.5993150684931506	0.6628787878787878	0.6110335195530726	en	single
multi_p8_c0_0_s0	0.2523364485981308	0.84375	0.2934782608695652	nl	multi
multi_p8_c0_0_s0	0.4406779661016949	0.7878787878787878	0.483271375464684	en	multi
multi_p8_c0_0_s0	0.2523364485981308	0.84375	0.2934782608695652	nl	multi
multi_p8_c0_0_s0	0.4406779661016949	0.7878787878787878	0.483271375464684	en	multi
multi_p8_c0_0_s0	0.2523364485981308	0.84375	0.2934782608695652	nl	multi
multi_p8_c0_0_s0	0.4406779661016949	0.7878787878787878	0.483271375464684	en	multi
single_p6_c0_0_s0	0.3793103448275862	0.6875	0.4166666666666667	nl	single
single_p6_c0_0_s0	0.603448275862069	0.6628787878787878	0.6144662921348314	en	single
single_p6_c0_0_s0	0.3793103448275862	0.6875	0.4166666666666667	nl	single
single_p6_c0_0_s0	0.603448275862069	0.6628787878787878	0.6144662921348314	en	single
single_p6_c0_0_s0	0.3793103448275862	0.6875	0.4166666666666667	nl	single
single_p6_c0_0_s0	0.603448275862069	0.6628787878787878	0.6144662921348314	en	single
multi_p6_c0_0_s0	0.2523364485981308	0.84375	0.2934782608695652	nl	multi
multi_p6_c0_0_s0	0.4406779661016949	0.7878787878787878	0.483271375464684	en	multi
multi_p6_c0_0_s0	0.2523364485981308	0.84375	0.2934782608695652	nl	multi
multi_p6_c0_0_s0	0.4406779661016949	0.7878787878787878	0.483271375464684	en	multi
multi_p6_c0_0_s0	0.2523364485981308	0.84375	0.2934782608695652	nl	multi
multi_p6_c0_0_s0	0.4406779661016949	0.7878787878787878	0.483271375464684	en	multi
single_p4_c0_0_s0	0.7857142857142857	0.34375	0.625	nl	single
single_p4_c0_0_s0	0.7702702702702703	0.2159090909090909	0.5089285714285715	en	single
single_p4_c0_0_s0	0.7857142857142857	0.34375	0.625	nl	single
single_p4_c0_0_s0	0.7702702702702703	0.2159090909090909	0.5089285714285715	en	single
single_p4_c0_0_s0	0.7857142857142857	0.34375	0.625	nl	single
single_p4_c0_0_s0	0.7702702702702703	0.2159090909090909	0.5089285714285715	en	single
multi_p4_c0_0_s0	0.6818181818181818	0.46875	0.625	nl	multi
multi_p4_c0_0_s0	0.7096774193548387	0.25	0.5188679245283019	en	multi
multi_p4_c0_0_s0	0.6818181818181818	0.46875	0.625	nl	multi
multi_p4_c0_0_s0	0.7096774193548387	0.25	0.5188679245283019	en	multi
multi_p4_c0_0_s0	0.6818181818181818	0.46875	0.625	nl	multi
multi_p4_c0_0_s0	0.7096774193548387	0.25	0.5188679245283019	en	multi
single_dbp_c0_0_s0	0	0.0	0	nl	single
single_dbp_c0_0_s0	0.580952380952381	0.6931818181818182	0.6003937007874017	en	single
single_dbp_c0_0_s0	0	0.0	0	nl	single
single_dbp_c0_0_s0	0.580952380952381	0.6931818181818182	0.6003937007874017	en	single
single_dbp_c0_0_s0	0	0.0	0	nl	single
single_dbp_c0_0_s0	0.580952380952381	0.6931818181818182	0.6003937007874017	en	single
multi_dbp_c0_0_s0	0	0.0	0	nl	multi
multi_dbp_c0_0_s0	0.4896907216494845	0.7196969696969697	0.5231277533039648	en	multi
multi_dbp_c0_0_s0	0	0.0	0	nl	multi
multi_dbp_c0_0_s0	0.4896907216494845	0.7196969696969697	0.5231277533039648	en	multi
multi_dbp_c0_0_s0	0	0.0	0	nl	multi
multi_dbp_c0_0_s0	0.4896907216494845	0.7196969696969697	0.5231277533039648	en	multi
single_szt_c0_0_s0	0	0.0	0	nl	single
single_szt_c0_0_s0	0.8709677419354839	0.10227272727272728	0.34793814432989695	en	single
single_szt_c0_0_s0	0	0.0	0	nl	single
single_szt_c0_0_s0	0.8709677419354839	0.10227272727272728	0.34793814432989695	en	single
single_szt_c0_0_s0	0	0.0	0	nl	single
single_szt_c0_0_s0	0.8709677419354839	0.10227272727272728	0.34793814432989695	en	single
multi_szt_c0_0_s0	0	0.0	0	nl	multi
multi_szt_c0_0_s0	0.875	0.10606060606060606	0.3571428571428571	en	multi
multi_szt_c0_0_s0	0	0.0	0	nl	multi
multi_szt_c0_0_s0	0.875	0.10606060606060606	0.3571428571428571	en	multi
multi_szt_c0_0_s0	0	0.0	0	nl	multi
multi_szt_c0_0_s0	0.875	0.10606060606060606	0.3571428571428571	en	multi
single_p8_c0_1_s20	0.3793103448275862	0.6875	0.4166666666666667	nl	single
